SEAT,COUNTY,REGION,COUNTRY,AGE_UNDR_10,AGE_10_19,AGE_20_29,AGE_30_39,AGE_40_49,AGE_50_59,AGE_60_69,AGE_70_79,AGE_OVR_80,LEAVE,CHILDPOVERTY_2022,STUDENT,A,C3,B,C5,E,D7,D6,C4,WHITE,BLACK,ASIAN,OTHR_ETH,BUDDHIST,CHRISTIAN,HINDU,JEWISH,MUSLIM,ATHEIST,NOREPLY,OTHER_RLG,SIKH,TOT_2010,WIN_2010,TURNOUT_2010,CON_2010_PCT,LAB_2010_PCT,LIB_2010_PCT,GRN_2010_PCT,UKIP_2010_PCT,OTH_2010_PCT,DUP_2010_PCT,SF_2010_PCT,APNI_2010_PCT,SDLP_2010_PCT,UUP_2010_PCT,GRNIR_2010_PCT,SNP_2010_PCT,GRNSC_2010_PCT,PC_2010_PCT,BNP_2010_PCT,TOT_2015,WIN_2015,TURNOUT_2015,CON_2015_PCT,LAB_2015_PCT,LIB_2015_PCT,GRN_2015_PCT,UKIP_2015_PCT,OTH_2015_PCT,DUP_2015_PCT,SF_2015_PCT,APNI_2015_PCT,SDLP_2015_PCT,UUP_2015_PCT,GRNIR_2015_PCT,SNP_2015_PCT,GRNSC_2015_PCT,PC_2015_PCT,TOT_2017,WIN_2017,TURNOUT_2017,CON_2017_PCT,LAB_2017_PCT,LIB_2017_PCT,GRN_2017_PCT,UKIP_2017_PCT,OTH_2017_PCT,DUP_2017_PCT,SF_2017_PCT,APNI_2017_PCT,SDLP_2017_PCT,UUP_2017_PCT,GRNIR_2017_PCT,SNP_2017_PCT,GRNSC_2017_PCT,PC_2017_PCT,TOT_2019,WIN_2019,TURNOUT_2019,CON_2019_PCT,LAB_2019_PCT,LIB_2019_PCT,GRN_2019_PCT,BRX_2019_PCT,OTH_2019_PCT,DUP_2019_PCT,SF_2019_PCT,APNI_2019_PCT,SDLP_2019_PCT,UUP_2019_PCT,GRNIR_2019_PCT,SNP_2019_PCT,GRNSC_2019_PCT,PC_2019_PCT,MEDWAGE,UE_MAY_2010,UE_MAY_2015,UE_MAY_2017,UE_NOV_2019,UE_AUG_2023
Angus,SCT,SCT,SCT,0.099,0.105,0.106,0.114,0.12,0.151,0.134,0.108,0.063,0.481,0.239,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,37960,SNP,0.604,0.309220232,0.1721549,0.107744995,0,0.015200211,0,0,0,0,0,0,0,0.395679663,0,0,0,44485,SNP,0.676,0.289985388,0.088097111,0.027335057,0,0.030459706,0,0,0,0,0,0,0,0.542430033,0.021692705,0,40192,CON,0.63,0.451532643,0.13020004,0.03254379,0,0,0,0,0,0,0,0,0,0.385723527,0,0,43170,SNP,0.675,0.403544128,0.047509845,0.05749363,0,0,0,0,0,0,0,0,0,0.491452397,0,0,609,0.033854577,0.021183591,0.02583278,0.034850269,0.035139884
Arfon,GWN,WLS,WLS,0.104,0.123,0.196,0.116,0.105,0.123,0.1,0.084,0.051,0.349,0.204,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.943226044,0.007199051,0.027760611,0.021814295,0.00402559,0.429101174,0.003457664,0.000334,0.015901916,0.46711878,0.072226769,0.007332921,0.000501,26078,PC,0.633,0.169338139,0.304011044,0.140578265,0,0.026267352,0,0,0,0,0,0,0,0,0,0.3598052,0,26837,PC,0.663,0.131199463,0.302641875,0.026754108,0,0.084845549,0.015240154,0,0,0,0,0,0,0,0,0.439318851,28208,CON,0.682,0.163570618,0.405097845,0.022972206,0,0,0,0,0,0,0,0,0,0,0,0.408359331,29074,PC,0.689,0.152301025,0.356091353,0,0,0.039863796,0,0,0,0,0,0,0,0,0,0.451743826,583,0.035338895,0.024054812,0.023436145,0.026779995,0.025104706
Argyll and Bute,SCT,SCT,SCT,0.086,0.101,0.105,0.095,0.112,0.16,0.15,0.122,0.067,0.394,0.178,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,45207,LIB,0.673,0.240250404,0.227265689,0.31614573,0,0,0.00946756,0,0,0,0,0,0,0.189417568,0.017453049,0,0,51883,SNP,0.753,0.149046894,0.10396469,0.279205135,0,0.025268392,0,0,0,0,0,0,0,0.442514889,0,0,48069,CON,0.715,0.332355572,0.125735921,0.181925981,0,0,0,0,0,0,0,0,0,0.359982525,0,0,48050,SNP,0.722,0.352341311,0.067596254,0.142185224,0,0,0,0,0,0,0,0,0,0.437877211,0,0,586,0.029459961,0.016470903,0.017120247,0.02640186,0.026204831
Arundel and South Downs,WSX,SE,ENG,0.1,0.109,0.07,0.088,0.123,0.159,0.143,0.133,0.081,0.506,0.121,0.048112017,0.174314243,0.120199702,0.243980259,0.04655113,0.050877998,0.070572707,0.091346264,0.154045679,0.96465828,0.003317481,0.011055074,0.020969165,0.003365583,0.519622978,0.002234133,0.002243722,0.003538177,0.404023358,0.059631224,0.004957283,0.000384,55982,CON,0.729,0.577560644,0.086367047,0.279411239,0,0.05666107,0,0,0,0,0,0,0,0,0,0,0,56477,CON,0.731,0.607875772,0.111974786,0.071923084,0.063849,0.144377357,0,0,0,0,0,0,0,0,0,0,60256,CON,0.758,0.62355616,0.227197292,0.079377987,0.04218667,0.027681891,0,0,0,0,0,0,0,0,0,0,61408,CON,0.751,0.579175352,0.158318134,0.212431605,0.041020714,0,0.009054195,0,0,0,0,0,0,0,0,0,680,0.0155895,0.005761465,0.006493506,0.012363882,0.011191445
Ashfield,NTT,EM,ENG,0.115,0.113,0.113,0.125,0.121,0.147,0.118,0.099,0.049,0.705,0.296,0.043092048,0.074738136,0.112715782,0.16357891,0.080180233,0.089917491,0.196664521,0.149019837,0.090093042,0.959518432,0.008766221,0.01381924,0.017896107,0.001942714,0.419980286,0.003091116,0.000392,0.005464481,0.503957203,0.058654647,0.004507479,0.002009704,48196,LAB,0.623,0.221968628,0.336936675,0.332952942,0,0.019358453,0.031081418,0,0,0,0,0,0,0,0,0,0.057701884,47409,LAB,0.615,0.224176844,0.410217469,0.148284081,0,0.21409437,0.003227235,0,0,0,0,0,0,0,0,0,49993,CON,0.64,0.416938371,0.425759606,0.019382714,0.007961115,0.037705279,0.092252915,0,0,0,0,0,0,0,0,0,48980,CON,0.626,0.392629645,0.24440588,0.022560229,0.013760719,0.051061658,0.27558187,0,0,0,0,0,0,0,0,0,541,0.040513955,0.021072032,0.019263275,0.029564,0.029000731
Ashford,KEN,SE,ENG,0.127,0.123,0.104,0.12,0.127,0.147,0.105,0.094,0.051,0.595,0.177,0.052534319,0.126843052,0.123440494,0.2104306,0.061480699,0.072607454,0.109683601,0.120213931,0.122765849,0.876834871,0.026711172,0.05968977,0.036764186,0.010414376,0.473587069,0.021182181,0.001075995,0.016297006,0.407770727,0.056737143,0.011812384,0.001123119,55185,CON,0.679,0.54141524,0.166784452,0.227978617,0.018374558,0.045447132,0,0,0,0,0,0,0,0,0,0,0,57372,CON,0.674,0.524541588,0.184410514,0.059837551,0.04300007,0.188210277,0,0,0,0,0,0,0,0,0,0,59879,CON,0.685,0.589822809,0.297934167,0.051787772,0.023413885,0.037041367,0,0,0,0,0,0,0,0,0,0,60059,CON,0.671,0.620556453,0.220466541,0.100700977,0.043923475,0,0.014352553,0,0,0,0,0,0,0,0,0,666,0.025862563,0.01297191,0.016827152,0.027396712,0.02558183
Ashton-under-Lyne,GTM,NW,ENG,0.13,0.115,0.127,0.139,0.121,0.145,0.101,0.082,0.042,0.618,0.294,0.060899862,0.07721116,0.134966203,0.162695409,0.062296109,0.114335673,0.164143853,0.131429914,0.092021818,0.799037229,0.03362404,0.131495316,0.035843414,0.00258406,0.490492118,0.02301689,0.000438,0.102643452,0.330915987,0.045231471,0.003542663,0.001135736,38432,LAB,0.568,0.247450042,0.48407577,0.148391965,0,0.043869692,0,0,0,0,0,0,0,0,0,0,0.076212531,38918,LAB,0.569,0.22123439,0.49761036,0.024230433,0.039339123,0.217585693,0,0,0,0,0,0,0,0,0,0,39773,CON,0.605,0.319563523,0.603550147,0.016242174,0.013426194,0.047217962,0,0,0,0,0,0,0,0,0,0,38579,LAB,0.563,0.370175484,0.480676015,0.036159569,0.031312372,0.08167656,0,0,0,0,0,0,0,0,0,0,521,0.047194922,0.027238366,0.029642906,0.044071102,0.043592069
Aylesbury,BKM,SE,ENG,0.138,0.117,0.115,0.152,0.139,0.133,0.091,0.071,0.044,0.521,0.167,0.052349223,0.152759884,0.132267091,0.232758274,0.052953136,0.062484902,0.098035269,0.104285772,0.11210645,0.786927185,0.035504141,0.124484347,0.053084327,0.006363724,0.462713057,0.027525503,0.001998657,0.080034217,0.354369863,0.05903233,0.004644879,0.00331777,53162,CON,0.683,0.521726045,0.125935819,0.284376058,0,0.067962078,0,0,0,0,0,0,0,0,0,0,0,55419,CON,0.69,0.506739566,0.151410166,0.106191018,0.038524694,0.197134557,0,0,0,0,0,0,0,0,0,0,58783,CON,0.712,0.549699743,0.300375959,0.096286341,0.021043499,0.022047191,0.010547267,0,0,0,0,0,0,0,0,0,60576,CON,0.699,0.540428553,0.253631801,0.166419044,0.039520602,0,0,0,0,0,0,0,0,0,0,0,660,0.021226247,0.008553748,0.009563565,0.015481557,0.01502696
"Ayr, Carrick and Cumnock",SCT,SCT,SCT,0.095,0.105,0.108,0.103,0.111,0.156,0.144,0.113,0.064,0.429,0.255,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,45893,LAB,0.626,0.255398427,0.471357288,0.092911773,0,0,0,0,0,0,0,0,0,0.180332513,0,0,0,52209,SNP,0.715,0.198337451,0.27250091,0.016376487,0,0.024516846,0,0,0,0,0,0,0,0.488268306,0,0,46222,CON,0.649,0.401324045,0.238501147,0.018865475,0,0,0,0,0,0,0,0,0,0.341309333,0,0,46592,SNP,0.647,0.385109032,0.13347785,0.046316964,0,0,0,0,0,0,0,0,0,0.435096154,0,0,582,0.046732694,0.030818335,0.030094382,0.048304251,0.04770318
Banbury,OXF,SE,ENG,0.13,0.117,0.1,0.138,0.135,0.143,0.103,0.082,0.045,0.505,0.143,0.047478392,0.145970608,0.1182052,0.212325841,0.061883685,0.051940852,0.135037127,0.122803988,0.104354307,0.882254661,0.018363818,0.059458905,0.039922617,0.005869723,0.497907858,0.006954266,0.001135839,0.033906627,0.385181331,0.059855052,0.005261499,0.003927805,56241,CON,0.667,0.528137835,0.191550648,0.204050426,0.017051617,0.049892427,0.009317046,0,0,0,0,0,0,0,0,0,0,58008,CON,0.671,0.530082058,0.212970625,0.059302165,0.046303958,0.138773962,0.012567232,0,0,0,0,0,0,0,0,0,61562,CON,0.734,0.542347552,0.34094084,0.056073552,0.019898639,0.025681427,0.01505799,0,0,0,0,0,0,0,0,0,62921,CON,0.698,0.54271229,0.275504204,0.140350598,0.041432908,0,0,0,0,0,0,0,0,0,0,0,690,0.019668751,0.006108408,0.006054163,0.014202183,0.01354965
