SEAT,COUNTY,REGION,COUNTRY,AGE_UNDR_10,AGE_10_19,AGE_20_29,AGE_30_39,AGE_40_49,AGE_50_59,AGE_60_69,AGE_70_79,AGE_OVR_80,LEAVE,CHILDPOVERTY_2022,STUDENT,A,C3,B,C5,E,D7,D6,C4,WHITE,BLACK,ASIAN,OTHR_ETH,BUDDHIST,CHRISTIAN,HINDU,JEWISH,MUSLIM,ATHEIST,NOREPLY,OTHER_RLG,SIKH,TOT_2010,WIN_2010,TURNOUT_2010,CON_2010_PCT,LAB_2010_PCT,LIB_2010_PCT,GRN_2010_PCT,UKIP_2010_PCT,OTH_2010_PCT,DUP_2010_PCT,SF_2010_PCT,APNI_2010_PCT,SDLP_2010_PCT,UUP_2010_PCT,GRNIR_2010_PCT,SNP_2010_PCT,GRNSC_2010_PCT,PC_2010_PCT,BNP_2010_PCT,TOT_2015,WIN_2015,TURNOUT_2015,CON_2015_PCT,LAB_2015_PCT,LIB_2015_PCT,GRN_2015_PCT,UKIP_2015_PCT,OTH_2015_PCT,DUP_2015_PCT,SF_2015_PCT,APNI_2015_PCT,SDLP_2015_PCT,UUP_2015_PCT,GRNIR_2015_PCT,SNP_2015_PCT,GRNSC_2015_PCT,PC_2015_PCT,TOT_2017,WIN_2017,TURNOUT_2017,CON_2017_PCT,LAB_2017_PCT,LIB_2017_PCT,GRN_2017_PCT,UKIP_2017_PCT,OTH_2017_PCT,DUP_2017_PCT,SF_2017_PCT,APNI_2017_PCT,SDLP_2017_PCT,UUP_2017_PCT,GRNIR_2017_PCT,SNP_2017_PCT,GRNSC_2017_PCT,PC_2017_PCT,TOT_2019,WIN_2019,TURNOUT_2019,CON_2019_PCT,LAB_2019_PCT,LIB_2019_PCT,GRN_2019_PCT,BRX_2019_PCT,OTH_2019_PCT,DUP_2019_PCT,SF_2019_PCT,APNI_2019_PCT,SDLP_2019_PCT,UUP_2019_PCT,GRNIR_2019_PCT,SNP_2019_PCT,GRNSC_2019_PCT,PC_2019_PCT,MEDWAGE,UE_MAY_2010,UE_MAY_2015,UE_MAY_2017,UE_NOV_2019,UE_AUG_2023
Bury St Edmunds,SFK,E,ENG,0.101,0.109,0.106,0.122,0.12,0.145,0.119,0.11,0.067,0.537,0.11,0.043793536,0.133134797,0.128555548,0.226810537,0.058326789,0.053849527,0.123670335,0.119019694,0.112839237,0.949618971,0.007884542,0.017701903,0.024794585,0.004061441,0.482196073,0.002963064,0.000886,0.004708547,0.439214618,0.0609131,0.004580829,0.000477,58718,CON,0.693,0.475135393,0.166490684,0.264297149,0.042934024,0.05114275,0,0,0,0,0,0,0,0,0,0,0,59341,CON,0.69,0.536138589,0.177179353,0.060346135,0.079068435,0.147267488,0,0,0,0,0,0,0,0,0,0,62160,CON,0.722,0.591924067,0.295254183,0.057351995,0.041763192,0,0.013706564,0,0,0,0,0,0,0,0,0,61957,CON,0.691,0.609616347,0.206304372,0,0.156737737,0,0.027341543,0,0,0,0,0,0,0,0,0,602,0.019986178,0.009196412,0.010026908,0.017369165,0.017157001
Caerphilly,GNT,WLS,WLS,0.116,0.119,0.118,0.132,0.123,0.141,0.114,0.091,0.046,0.551,0.217,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.974275742,0.001500873,0.01113438,0.013089005,0.001919631,0.3690346,0.001826558,0.000524,0.003571678,0.560008842,0.057391163,0.004642018,0.001081974,38692,LAB,0.623,0.17114649,0.449110927,0.147007133,0,0.023519074,0,0,0,0,0,0,0,0,0,0.166959578,0.042256797,40283,LAB,0.633,0.165901249,0.443462503,0.023210784,0.023260432,0.193406648,0.004418737,0,0,0,0,0,0,0,0,0.146339647,41297,CON,0.641,0.252149067,0.544615832,0.017555755,0.010824031,0.030486476,0,0,0,0,0,0,0,0,0,0.14436884,40117,LAB,0.635,0.278809482,0.449136276,0,0,0.111922626,0,0,0,0,0,0,0,0,0,0.160131615,592,0.048008061,0.032983399,0.026825879,0.031662899,0.03138725
"Caithness, Sutherland and Easter Ross",SCT,SCT,SCT,0.096,0.109,0.098,0.107,0.112,0.156,0.145,0.117,0.064,0.494,0.231,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,28768,LIB,0.609,0.130144605,0.246141546,0.413897386,0,0,0.01807564,0,0,0,0,0,0,0.191740823,0,0,0,34186,SNP,0.719,0.068039548,0.089539578,0.350640613,0,0.028695957,0,0,0,0,0,0,0,0.463084304,0,0,30901,CON,0.659,0.226206272,0.124041293,0.357949581,0,0,0,0,0,0,0,0,0,0.291802854,0,0,31457,LIB,0.67,0.164542073,0.06154433,0.372095241,0,0.036208157,0,0,0,0,0,0,0,0.365610198,0,0,628,0.038373674,0.021187599,0.023733607,0.035111809,0.034187076
Calder Valley,WYK,YTH,ENG,0.107,0.112,0.097,0.109,0.133,0.163,0.128,0.101,0.049,0.532,0.141,0.051288739,0.14666967,0.117990183,0.227052854,0.052213502,0.063962725,0.118997937,0.107473976,0.114350414,0.950641476,0.004796444,0.02223717,0.02232491,0.003675395,0.44652641,0.001735333,0.000634,0.01699261,0.466823951,0.055394154,0.006405132,0.001813325,51780,CON,0.673,0.39391657,0.269718038,0.251776748,0.016570104,0.022653534,0.010158362,0,0,0,0,0,0,0,0,0,0.035206643,53541,CON,0.689,0.436189089,0.353504791,0.049793616,0.039035506,0.111129788,0.010347211,0,0,0,0,0,0,0,0,0,58054,CON,0.734,0.46146691,0.450976677,0.033623867,0.010869191,0.025252351,0.017811004,0,0,0,0,0,0,0,0,0,57793,CON,0.729,0.518765248,0.418856955,0.049902237,0,0,0.012475559,0,0,0,0,0,0,0,0,0,646,0.035902058,0.014098906,0.014897808,0.026092477,0.026386695
Camberwell and Peckham,LND,LND,ENG,0.139,0.108,0.15,0.203,0.138,0.126,0.075,0.04,0.023,0.301,0.167,0.10225419,0.164261116,0.084787316,0.218607801,0.040791018,0.102044321,0.111622006,0.092466636,0.083165597,0.448162207,0.335028196,0.076948311,0.139861287,0.009185132,0.458881695,0.00546734,0.003264783,0.10230175,0.343333359,0.069622675,0.006482704,0.001460561,46659,LAB,0.593,0.130307122,0.59193296,0.223579588,0.029169078,0,0.025011252,0,0,0,0,0,0,0,0,0,0,51561,LAB,0.623,0.131688679,0.63253234,0.050037819,0.10059929,0.046798937,0.038342934,0,0,0,0,0,0,0,0,0,57412,CON,0.671,0.128004598,0.777973246,0.059447502,0.028339023,0,0.00623563,0,0,0,0,0,0,0,0,0,56492,LAB,0.634,0.114671104,0.712631877,0.090048148,0.061973377,0.018427388,0.002248106,0,0,0,0,0,0,0,0,0,690,0.058409563,0.031152179,0.032737489,0.044819954,0.045500189
Camborne and Redruth,CUL,SW,ENG,0.112,0.114,0.109,0.111,0.119,0.144,0.124,0.111,0.057,0.627,0.223,0.060018819,0.082716615,0.11086951,0.190470741,0.066745505,0.067661046,0.13401236,0.149729152,0.137776252,0.969332802,0.001644944,0.005594904,0.02342735,0.003415759,0.426770746,0.000629,0.000859,0.00217938,0.488390612,0.070023051,0.00738684,0.000346,42493,CON,0.664,0.375803073,0.163438684,0.374249876,0.01367284,0.050643635,0.02219189,0,0,0,0,0,0,0,0,0,0,45868,CON,0.685,0.402284817,0.249585768,0.123986221,0.056858812,0.147728264,0.019556118,0,0,0,0,0,0,0,0,0,48456,CON,0.708,0.474678058,0.442133069,0.061478455,0.021710418,0,0,0,0,0,0,0,0,0,0,0,50367,CON,0.717,0.531379673,0.358647527,0.069569361,0.026981952,0,0.013421486,0,0,0,0,0,0,0,0,0,549,0.027475771,0.014675961,0.017885584,0.026636212,0.0253053
Cambridge,CAM,E,ENG,0.111,0.126,0.265,0.112,0.107,0.103,0.076,0.055,0.041,0.262,0.105,0.254252986,0.232610158,0.068440965,0.167541875,0.030808482,0.046186511,0.075920279,0.063591643,0.0606471,0.748945779,0.024209708,0.14460777,0.082236744,0.011469416,0.3507817,0.021675253,0.007364651,0.0508946,0.449400734,0.098357346,0.007873074,0.002183227,50130,LIB,0.671,0.255914622,0.242848594,0.391402354,0.075882705,0.023838021,0.010113704,0,0,0,0,0,0,0,0,0,0,51774,LAB,0.621,0.156777533,0.360142156,0.348572643,0.07936416,0.051531657,0.003611852,0,0,0,0,0,0,0,0,0,55934,CON,0.712,0.163281725,0.519040297,0.292684235,0.02261594,0,0.002377802,0,0,0,0,0,0,0,0,0,53729,LAB,0.672,0.15526066,0.479740922,0.300340598,0.040276201,0.019375012,0.005006607,0,0,0,0,0,0,0,0,0,746,0.02124615,0.008103929,0.008127714,0.015817376,0.015024649
Cannock Chase,STS,WM,ENG,0.111,0.109,0.118,0.135,0.125,0.151,0.111,0.092,0.048,0.689,0.224,0.044848867,0.084071923,0.117560047,0.187652315,0.075972695,0.079767693,0.159511136,0.145773973,0.10484135,0.966256479,0.004695443,0.01201715,0.017030928,0.002208538,0.524348631,0.001611636,0.000289,0.003442135,0.410807907,0.049095196,0.004427024,0.003770431,45559,CON,0.611,0.401040409,0.330911565,0.169713997,0,0.034680305,0.016067078,0,0,0,0,0,0,0,0,0,0.047586646,47099,CON,0.632,0.441856515,0.337332003,0.026964479,0.019236077,0.174610926,0,0,0,0,0,0,0,0,0,0,47872,CON,0.642,0.549757687,0.374477774,0.016585896,0.017024566,0.042154078,0,0,0,0,0,0,0,0,0,0,46313,CON,0.619,0.683091141,0.253859607,0,0.063049252,0,0,0,0,0,0,0,0,0,0,0,575,0.040623815,0.012633625,0.01313608,0.022869318,0.022111742
Canterbury,KEN,SE,ENG,0.089,0.129,0.228,0.103,0.096,0.113,0.097,0.089,0.055,0.453,0.165,0.198978318,0.126888343,0.093491198,0.194483749,0.041647592,0.065566607,0.082941446,0.092086645,0.103916101,0.86777377,0.032463466,0.049122931,0.050639833,0.006888036,0.454910261,0.009921947,0.002204877,0.023098293,0.418027076,0.074877629,0.00808749,0.001984389,49209,CON,0.664,0.448088764,0.161352598,0.325184417,0.023105529,0.038753074,0.003515617,0,0,0,0,0,0,0,0,0,0,53465,CON,0.657,0.42865426,0.245394183,0.116468718,0.070064528,0.13633218,0.003086131,0,0,0,0,0,0,0,0,0,56800,CON,0.727,0.446919014,0.450211268,0.080299296,0.022570423,0,0,0,0,0,0,0,0,0,0,0,60113,LAB,0.75,0.452181724,0.482724203,0.056693228,0,0,0.008400845,0,0,0,0,0,0,0,0,0,691,0.021224754,0.008952945,0.011358354,0.020685579,0.020044263
Cardiff Central,SGM,WLS,WLS,0.087,0.121,0.356,0.121,0.094,0.078,0.063,0.048,0.032,0.303,0.213,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.735453924,0.037817085,0.135727222,0.091001768,0.006387801,0.331265522,0.019087488,0.003513833,0.114633379,0.438979687,0.074625571,0.007461473,0.004045246,36151,LIB,0.591,0.215734005,0.287682222,0.414262399,0.015905507,0.02116124,0.010788083,0,0,0,0,0,0,0,0,0.034466543,0,38646,LAB,0.673,0.146819852,0.400093153,0.271205299,0.063680588,0.064663872,0.003726129,0,0,0,0,0,0,0,0,0.049811106,40367,CON,0.681,0.198107365,0.624098893,0.134144227,0.010404538,0.00849704,0,0,0,0,0,0,0,0,0,0.024747938,41822,LAB,0.653,0.201472909,0.612237578,0.150590598,0,0.024054325,0.011644589,0,0,0,0,0,0,0,0,0,619,0.035168289,0.023690245,0.020459918,0.029534122,0.029263428
Cardiff North,SGM,WLS,WLS,0.117,0.123,0.139,0.125,0.116,0.13,0.111,0.082,0.055,0.39,0.12,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.874099326,0.013802034,0.060044937,0.052053703,0.003951694,0.449541183,0.011700114,0.001815344,0.042915177,0.424513787,0.058412017,0.004826159,0.002324526,47630,CON,0.727,0.374973756,0.370900693,0.183161873,0.007600252,0.023724543,0.006298551,0,0,0,0,0,0,0,0,0.033340332,0,51151,CON,0.761,0.42441008,0.382631816,0.038181072,0.02451565,0.077280992,0.007995934,0,0,0,0,0,0,0,0,0.044984458,52022,CON,0.774,0.421110299,0.501345585,0.032947599,0,0.011187574,0,0,0,0,0,0,0,0,0,0.033408942,52666,LAB,0.77,0.362321042,0.49489234,0.067975544,0.015569817,0.02489272,0.003854479,0,0,0,0,0,0,0,0,0.030494057,704,0.024678448,0.014322962,0.012543747,0.017567967,0.017515785
Cardiff South and Penarth,SGM,WLS,WLS,0.124,0.117,0.174,0.159,0.119,0.117,0.094,0.061,0.04,0.449,0.254,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.774629732,0.056831435,0.091091644,0.077447189,0.003612704,0.377974781,0.016125638,0.000982,0.112213044,0.418530015,0.060793392,0.005734729,0.004033602,44369,LAB,0.602,0.282922761,0.389055422,0.222565305,0.012486195,0.025806306,0.025445694,0,0,0,0,0,0,0,0,0.041718317,0,46667,LAB,0.614,0.268133799,0.427839801,0.049671074,0.037414018,0.137634731,0.005528532,0,0,0,0,0,0,0,0,0.073778044,50736,CON,0.663,0.301915799,0.594883318,0.028185115,0.010485651,0.018566698,0.003350678,0,0,0,0,0,0,0,0,0.04261274,50579,LAB,0.642,0.289547045,0.541370925,0.059016588,0.023369383,0.039522331,0,0,0,0,0,0,0,0,0,0.047173728,547,0.049551285,0.028405266,0.024412035,0.038449141,0.036824529
Cardiff West,SGM,WLS,WLS,0.13,0.122,0.138,0.146,0.121,0.133,0.1,0.073,0.042,0.448,0.204,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.830392745,0.030552662,0.080106051,0.058948542,0.003934771,0.398621778,0.010562862,0.001262493,0.071330878,0.446543924,0.05796949,0.004397685,0.005376118,40958,LAB,0.652,0.296474437,0.412471312,0.17544802,0.018311441,0.027271839,0,0,0,0,0,0,0,0,0,0.07002295,0,43792,LAB,0.656,0.251507125,0.40653544,0.047246072,0.038911217,0.112417793,0.004178845,0,0,0,0,0,0,0,0,0.139203507,46629,CON,0.698,0.297540157,0.566707414,0.0260353,0,0.014969225,0,0,0,0,0,0,0,0,0,0.094747904,46177,LAB,0.674,0.279836282,0.51774693,0.059141997,0.024536024,0.035060745,0,0,0,0,0,0,0,0,0,0.083678022,619,0.04493119,0.032013565,0.027414878,0.037896819,0.036170427
Carlisle,CMA,NW,ENG,0.113,0.107,0.116,0.121,0.119,0.143,0.122,0.096,0.059,0.604,0.188,0.054801849,0.086228892,0.115639446,0.17827405,0.068231389,0.082826925,0.187986118,0.137093787,0.088917543,0.964834318,0.003310245,0.016800626,0.015054812,0.003253452,0.519101276,0.003638878,0.000397,0.00891015,0.403428027,0.05736051,0.003695559,0.000215,42200,CON,0.647,0.393104265,0.372890995,0.155616114,0.014549763,0.022962085,0.01514218,0,0,0,0,0,0,0,0,0,0.025734597,42587,CON,0.647,0.443163407,0.378026158,0.025524221,0.026416512,0.123911053,0.002958649,0,0,0,0,0,0,0,0,0,43056,CON,0.691,0.498699368,0.43833612,0.029171312,0,0.0337932,0,0,0,0,0,0,0,0,0,0,42873,CON,0.659,0.551839153,0.357800947,0.065985585,0,0,0.024374315,0,0,0,0,0,0,0,0,0,566,0.031602059,0.016041497,0.016753278,0.026879994,0.026728877
Carmarthen East and Dinefwr,DFD,WLS,WLS,0.096,0.109,0.092,0.1,0.106,0.154,0.147,0.126,0.069,0.537,0.223,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.978978816,0.001955459,0.007631722,0.011434003,0.00289245,0.493074416,0.002064096,0.000543,0.003503531,0.425841934,0.065127648,0.006205866,0.000747,38011,PC,0.726,0.223777328,0.264791771,0.121254374,0,0.033806004,0,0,0,0,0,0,0,0,0,0.356370524,0,39399,PC,0.707,0.211578974,0.242163507,0.023553897,0.027691058,0.110738851,0,0,0,0,0,0,0,0,0,0.384273713,41029,CON,0.733,0.262692242,0.297813741,0.022423164,0,0.024007409,0,0,0,0,0,0,0,0,0,0.393063443,41002,PC,0.714,0.344617336,0.210282425,0,0,0.056363104,0,0,0,0,0,0,0,0,0,0.388737135,705,0.02256303,0.01650853,0.016617225,0.024603687,0.023288621
Carmarthen West and South Pembrokeshire,DFD,WLS,WLS,0.1,0.106,0.103,0.106,0.11,0.146,0.142,0.121,0.068,0.553,0.227,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.969016117,0.002950233,0.012767164,0.015266487,0.003594434,0.50235764,0.00220304,0.000657,0.006467405,0.414570987,0.06308941,0.006493172,0.000567,40507,CON,0.697,0.41101538,0.326511467,0.120719876,0,0.028291406,0.008986101,0,0,0,0,0,0,0,0,0.10447577,0,40350,CON,0.699,0.436827757,0.286790582,0.023866171,0.03197026,0.116431227,0,0,0,0,0,0,0,0,0,0.104114002,42226,CON,0.721,0.468218633,0.394567328,0.02264008,0,0.021432293,0,0,0,0,0,0,0,0,0,0.093141666,42114,CON,0.718,0.526736952,0.342831362,0.044165836,0,0,0,0,0,0,0,0,0,0,0,0.08626585,655,0.027043141,0.020033536,0.019854431,0.026924274,0.026546312
Carshalton and Wallington,LND,LND,ENG,0.137,0.127,0.101,0.146,0.153,0.139,0.091,0.064,0.04,0.563,0.117,0.067957151,0.146383279,0.136266916,0.222389747,0.047785222,0.076176696,0.087764308,0.100348966,0.114927714,0.685854572,0.074060984,0.159250697,0.080833747,0.008262489,0.458334129,0.063969816,0.001652498,0.063005063,0.338160283,0.058400993,0.006199255,0.002015474,45918,LIB,0.69,0.368482948,0.087438477,0.483034975,0.007731173,0.029356679,0,0,0,0,0,0,0,0,0,0,0.023955747,47613,LIB,0.68,0.316993258,0.150169071,0.348707286,0.03133598,0.148047802,0.004746603,0,0,0,0,0,0,0,0,0,50753,CON,0.716,0.383228578,0.184422596,0.410202353,0.009871338,0,0.012275136,0,0,0,0,0,0,0,0,0,49098,CON,0.673,0.424090594,0.123854332,0.411279482,0.015458878,0.021243228,0.004073486,0,0,0,0,0,0,0,0,0,660,0.031560528,0.014233554,0.025300316,0.028756619,0.028543607
Castle Point,ESS,E,ENG,0.104,0.108,0.104,0.108,0.114,0.143,0.124,0.127,0.067,0.727,0.131,0.042667849,0.105439983,0.14966672,0.191743267,0.061307316,0.077057464,0.111957749,0.130395635,0.129764017,0.948639236,0.013161126,0.017302583,0.020897055,0.002656665,0.486069252,0.004855669,0.007378385,0.00794767,0.435168441,0.051258009,0.003795236,0.000871,45026,CON,0.669,0.439879181,0.146781859,0.093990139,0,0,0.270377115,0,0,0,0,0,0,0,0,0,0.048971705,45450,CON,0.667,0.508514851,0.138239824,0.017623762,0.023674367,0.311947195,0,0,0,0,0,0,0,0,0,0,44710,CON,0.644,0.672690673,0.250592709,0.023462313,0,0.053254306,0,0,0,0,0,0,0,0,0,0,44277,CON,0.636,0.767238069,0.1657068,0.06705513,0,0,0,0,0,0,0,0,0,0,0,0,661,0.031116669,0.01282711,0.011934997,0.017696391,0.017157806
Central Ayrshire,SCT,SCT,SCT,0.099,0.105,0.108,0.106,0.117,0.156,0.14,0.112,0.058,0.422,0.253,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,43915,LAB,0.642,0.203643402,0.477057953,0.119230331,0,0,0.009609473,0,0,0,0,0,0,0.190458841,0,0,0,50774,SNP,0.725,0.173376137,0.264111553,0.018060425,0,0,0,0,0,0,0,0,0,0.531748533,0.012703352,0,45087,CON,0.653,0.343868521,0.260873422,0.023288309,0,0,0,0,0,0,0,0,0,0.371969747,0,0,46534,SNP,0.667,0.347745734,0.141466455,0.049060902,0,0,0,0,0,0,0,0,0,0.461726909,0,0,664,0.046747602,0.029408486,0.030854356,0.043664367,0.042231182
Central Devon,DEV,SW,ENG,0.101,0.105,0.081,0.1,0.119,0.158,0.14,0.123,0.069,0.511,0.17,0.04363212,0.136066458,0.107819147,0.216441416,0.053683695,0.049843768,0.105146256,0.110404196,0.176962943,0.977592944,0.001717979,0.00565676,0.015032317,0.004043494,0.478797846,0.000995,0.00088,0.002147451,0.440070395,0.06496826,0.007887955,0.00021,53873,CON,0.757,0.51485902,0.068958476,0.343530154,0.01937891,0.053273439,0,0,0,0,0,0,0,0,0,0,0,54448,CON,0.749,0.522259771,0.12828754,0.122006318,0.089369674,0.131703644,0.006373053,0,0,0,0,0,0,0,0,0,57844,CON,0.778,0.54073024,0.269656317,0.117038932,0.026467741,0.022923726,0.023183044,0,0,0,0,0,0,0,0,0,58072,CON,0.775,0.552675988,0.24752032,0.151019424,0.048784268,0,0,0,0,0,0,0,0,0,0,0,598,0.015494792,0.007763975,0.008083442,0.014155412,0.012873623
Central Suffolk and North Ipswich,SFK,E,ENG,0.104,0.12,0.086,0.1,0.124,0.152,0.132,0.117,0.065,0.544,0.132,0.050605486,0.132375331,0.129353758,0.218888342,0.056098189,0.053884712,0.112617994,0.11613145,0.130044738,0.940588971,0.010549894,0.019461063,0.029400072,0.002996306,0.483229416,0.003810835,0.000911,0.011704015,0.431700719,0.060023078,0.0042181,0.001406033,53420,CON,0.705,0.507768626,0.161662299,0.249700487,0.027180831,0.04419693,0.009490827,0,0,0,0,0,0,0,0,0,0,54089,CON,0.706,0.560502135,0.188078907,0.061269389,0.049252158,0.137902346,0.002995064,0,0,0,0,0,0,0,0,0,56524,CON,0.724,0.601372868,0.297342722,0.04300828,0.029350364,0.028925766,0,0,0,0,0,0,0,0,0,0,56250,CON,0.738,0.62672,0.21088,0.115288889,0.047111111,0,0,0,0,0,0,0,0,0,0,0,670,0.019511951,0.008688662,0.00835112,0.015600729,0.014553927
Ceredigion,DFD,WLS,WLS,0.088,0.111,0.167,0.075,0.094,0.139,0.138,0.12,0.069,0.454,0.242,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.962265471,0.005120815,0.015334462,0.017279252,0.005288488,0.467415636,0.002210532,0.001049303,0.007205216,0.430200347,0.076669092,0.009471711,0.00049,38258,LIB,0.639,0.11555753,0.057765696,0.500261383,0.018192274,0.025537143,0,0,0,0,0,0,0,0,0,0.282685974,0,37416,LIB,0.69,0.1101935,0.096616421,0.358509728,0.055805003,0.102335899,0,0,0,0,0,0,0,0,0,0.276539448,39767,CON,0.733,0.183745316,0.201599316,0.289662283,0.013629391,0.01513818,0.003947997,0,0,0,0,0,0,0,0,0.292277517,40105,PC,0.713,0.221393841,0.157511532,0.173918464,0.016531605,0.05143997,0,0,0,0,0,0,0,0,0,0.379204588,584,0.017003848,0.010636921,0.010713075,0.018465156,0.017058946
Charnwood,LEI,EM,ENG,0.114,0.115,0.107,0.123,0.122,0.146,0.116,0.098,0.061,0.582,0.148,0.053355841,0.141964026,0.13276675,0.221083881,0.055672624,0.062599686,0.116351359,0.106071366,0.110134466,0.805365993,0.012056805,0.145768204,0.036808997,0.002554376,0.426390133,0.094683467,0.000658,0.017394537,0.378428868,0.050563297,0.004803752,0.024523914,53542,CON,0.719,0.496059169,0.196780098,0.21536364,0,0.033599791,0,0,0,0,0,0,0,0,0,0,0.058197303,52261,CON,0.676,0.543120109,0.219150035,0.068980693,0,0.159392281,0.009356882,0,0,0,0,0,0,0,0,0,55176,CON,0.707,0.6038495,0.307688125,0.037190083,0.01877628,0.026660142,0.005835871,0,0,0,0,0,0,0,0,0,55365,CON,0.696,0.634353834,0.229820284,0.087708841,0.048117041,0,0,0,0,0,0,0,0,0,0,0,617,0.022727273,0.007167051,0.005528077,0.012339201,0.012116586
Chatham and Aylesford,KEN,SE,ENG,0.138,0.123,0.121,0.143,0.132,0.135,0.099,0.073,0.038,0.647,0.197,0.054240949,0.097196703,0.134305011,0.191699359,0.063850127,0.080746884,0.138240552,0.126297363,0.113423052,0.875314444,0.048585246,0.039166553,0.036933757,0.002749449,0.457754032,0.007361114,0.000712,0.022219839,0.442242069,0.052922021,0.004913909,0.009125831,43807,CON,0.645,0.461798343,0.32325884,0.133129409,0.009039651,0.029995206,0.011619148,0,0,0,0,0,0,0,0,0,0.031159404,43073,CON,0.649,0.501799271,0.235855408,0.031574304,0.025561256,0.199219929,0.005989831,0,0,0,0,0,0,0,0,0,44890,CON,0.637,0.569993317,0.337023836,0.024860771,0.012764536,0.049565605,0.005791936,0,0,0,0,0,0,0,0,0,43340,CON,0.591,0.665805261,0.238024919,0.066128288,0.025149977,0,0.004891555,0,0,0,0,0,0,0,0,0,621,0.042515279,0.0228929,0.020078953,0.029256017,0.027912865
Cheadle,GTM,NW,ENG,0.116,0.119,0.09,0.114,0.133,0.142,0.12,0.101,0.068,0.427,0.092,0.055830014,0.20350732,0.133037608,0.254009105,0.037194144,0.064611246,0.061132378,0.086764782,0.103913403,0.826370197,0.008494014,0.115994093,0.049141696,0.003644895,0.487180024,0.014474842,0.009887302,0.087205162,0.338797185,0.050599103,0.005299761,0.002911727,52512,LIB,0.733,0.408382846,0.09369287,0.470692413,0,0.027231871,0,0,0,0,0,0,0,0,0,0,0,53095,CON,0.725,0.431095207,0.163348715,0.309558339,0,0.083303513,0.012694227,0,0,0,0,0,0,0,0,0,54572,CON,0.743,0.445851352,0.190885436,0.363263212,0,0,0,0,0,0,0,0,0,0,0,0,55903,CON,0.749,0.459617552,0.122551563,0.417830886,0,0,0,0,0,0,0,0,0,0,0,0,743,0.020596284,0.01086205,0.010739183,0.015998255,0.013416718
Chelmsford,ESS,E,ENG,0.121,0.115,0.124,0.144,0.142,0.131,0.094,0.077,0.051,0.505,0.103,0.060337382,0.169423521,0.134340596,0.231531994,0.047174453,0.059670489,0.097574041,0.103576075,0.096371448,0.855756964,0.033196896,0.069273159,0.041772982,0.005687909,0.459816959,0.022379531,0.00217062,0.027039718,0.417113342,0.059439537,0.004677907,0.001674478,54593,CON,0.704,0.461725862,0.109537853,0.368124118,0.008719067,0.027970619,0.007455168,0,0,0,0,0,0,0,0,0,0.016467313,53817,CON,0.685,0.515301856,0.17618968,0.118810041,0.035156177,0.142185555,0.01235669,0,0,0,0,0,0,0,0,0,56860,CON,0.702,0.536844882,0.298153359,0.121632079,0.014438973,0.028930707,0,0,0,0,0,0,0,0,0,0,57122,CON,0.71,0.559049053,0.180228283,0.250568958,0,0,0.010153706,0,0,0,0,0,0,0,0,0,673,0.027012942,0.014314545,0.012855948,0.020140944,0.01914024
Chelsea and Fulham,LND,LND,ENG,0.117,0.096,0.157,0.161,0.152,0.128,0.086,0.065,0.039,0.292,0.068,0.095096221,0.282854162,0.070415024,0.224889868,0.022826339,0.081312312,0.054764665,0.059494551,0.108346858,0.719119454,0.070404403,0.087720505,0.122755639,0.00796014,0.510677398,0.010377664,0.011635563,0.084642826,0.2781332,0.087954637,0.006829997,0.001788575,39856,CON,0.602,0.604501204,0.184940787,0.162409675,0.016835608,0.011993175,0.009584504,0,0,0,0,0,0,0,0,0,0.009735046,40226,CON,0.634,0.629493363,0.231193755,0.051981306,0.036642967,0.050688609,0,0,0,0,0,0,0,0,0,0,42128,CON,0.661,0.526466958,0.332106912,0.109831941,0.019155906,0.012438283,0,0,0,0,0,0,0,0,0,0,46821,CON,0.698,0.498601055,0.232203498,0.258516478,0,0,0.010678969,0,0,0,0,0,0,0,0,0,864,0.025685448,0.013918443,0.018788385,0.022328142,0.022623523
